Dataset,Train Size,Test Size,Total Size,Test Size %,Train Accuracy,Test Accuracy,Random State,Num Features,Num Classes,RF_n_estimators,RF_max_depth,RF_max_features,RF_random_state,RF_min_samples_split
abalone,3341,836,4177,20.0%,0.91,0.89,42,10,2,2,5,0.5,42,
bank_marketing,32950,8238,41188,20.0%,0.91,0.90,42,20,2,7,5,,42,
customer_personality_analysis,1792,448,2240,20.0%,0.97,0.86,42,28,2,20,10,0.5,42,
diabetes,268,68,336,20.0%,0.86,0.78,42,8,2,12,5,,42,
ecoli,268,68,336,20.0%,0.95,0.96,42,7,2,7,4,0.5,42,12.0
education_dataset,800,200,1000,20.0%,0.64,0.60,42,3,2,15,3,0.3,42,4.0
energy_dataset,800,200,1000,20.0%,0.67,0.65,42,3,2,20,7,0.3,42,
healthcare_dataset_stroke,4088,1022,5110,20.0%,0.95,0.94,42,11,2,4,3,0.3,42,
iris,120,30,150,20.0%,0.96,1.00,42,4,3,7,4,0.5,42,
isolet,6237,1560,7797,20.0%,1.00,0.96,42,617,2,7,10,0.3,42,
libras_move,288,72,360,20.0%,1.00,0.96,42,90,2,20,8,0.3,42,12.0
mammography,8946,2237,11183,20.0%,1.00,0.99,42,6,2,12,10,0.5,42,
satimage,5148,1287,6435,20.0%,0.99,0.94,42,36,2,20,10,0.3,42,
scene,1925,482,2407,20.0%,0.93,0.94,42,294,2,10,6,0.3,42,12.0
us_crime,1595,399,1994,20.0%,0.98,0.94,42,100,2,10,8,0.3,42,15.0
yeast_ml8,1933,484,2417,20.0%,0.93,0.93,42,103,2,4,3,0.7,42,10.0
